id;fr;nl;Frequence
L3_6;La plupart du temps, on perd beaucoup de temps dans les bouchons;Meestal wordt er veel tijd in de file verloren;4.23
L3_7;Cela signifie que beaucoup de stress pourrait être évité;Dat betekent dat veel stress vermeden kan worden;3.51
L3_8;Connais-tu le riverain qui se plaint de nuisance sonores ?;Ken je de buurtbewoner die over geluidoverlast klaagt?;0.0
L3_9;Tu n’as pas le choix tu devras t’y habituer;Je hebt geen keuze : je zal er moeten aan wennen;4.14
L3_10;Le ministre va probablement essayer d’élargir ce système;De minister gaat heel waarschijnlijk proberen om dit systeem uit te breiden;3.91
L3_11;Le principe de la taxe au kilomètre est que tu paies par kilomètres parcouru;Het principe van kilometerheffing is dat je betaalt per kilometer die je aflegt;2.42
L3_12;Ce navetteur croit que la taxe au kilomètre ne résoudra pas les files matinales;Deze pendelaar gelooft dat rekeningrijden de ochtendspits niet zal oplossen;1.57
L3_13;Il a besoin de ta voiture car il est attendu chez ses clients;Hij heeft zijn auto nodig want hij wordt bij zijn klanten verwacht;4.47
L3_14;Si le ministre instaure la taxe au kilomètre, elle devra remplacer les autres taxes;Als de minister het rekeningrijden invoert, zal het alle andere verkeersbelastingen vervangen;0.0
L3_15;Il y a beaucoup de doutes à propos de cela;Daar is veel twijfel over;4.65
L3_16;Il envisage ce projet mais rien n’est encore clair;Hij overweegt dit project maar er is nog niets duidelijk;3.88
L4_1;Il lui a déjà souvent rendu service, par le passé;Hij heeft haar in het verleden al vaak een dienst bewezen;4.2
L4_2;Que l’eau puisse être trop pure pour être saine est nouveau pour moi;Dat water ook te zuiver kan zijn om gezond te zijn, is nieuw voor mij;3.88
L4_3;C’est dur à avaler / Pas évident à croire;Dat is even slikken;3.88
L4_4;Ce sont des personnes qui ne parviennent pas à trouver du travail sur le marché ordinaire;Het zijn vooral mensen die geen werk kunnen vinden op de gewone arbeidsmarkt;4.12
L4_5;La clientèle a beaucoup augmenté parce que l’intérêt est grand;Het cliëntel is enorm toegenomen omdat de belangstelling groot is;0.0
L4_6;Les ressourceries ont besoin de plus de travailleurs;De kringloopwinkels hebben meer werknemers nodig;2.35
L4_7;Nous avons dû reculer l’horloge d’une heure le weekend dernier;We hebben verleden weekend de klok een uur achteruit moeten draaien;3.83
L4_8;Beaucoup d’européens ont exprimé le souhait de ne plus changer l’heure;Veel Europeanen hebben de wens uitgesproken om de tijd niet meer te veranderen;3.69
L4_9;Chaque état membre a le choix de garder l’heure d’été ou d’hiver;Iedere lidstaat heeft de keuze om te beslissen of het de zomer – of wintertijd wil houden;2.73
L4_10;Il vaudrait mieux rester à l’heure d’hiver pour notre rythme biologique;Zou het beter zijn om in de wintertijd te blijven voor ons biologische ritme;2.89
L4_11;Cela ne m’étonnerait pas que l’on en arrive finalement à un compromis;Het zou me niet verbazen dat men uiteindelijk tot een compromis komt;3.48
L4_12;Les cercles étudiants ont organisé une soirée sans alcool;De studentenkringen hebben een alcoholvrije avond georganiseerd;1.35
L4_13;La police a collaboré à l’organisation;De politie heeft meegewerkt aan de organisatie;3.5
L5_1;Beaucoup de personnes ont l’habitude de faire défiler la publicité en avance rapide;Veel mensen hebben de gewoonte om de reclame door te spoelen;3.42
L5_2;Faire défiler la publicité est uniquement possible si tu regardes en différé;De reclame doorspoelen is alleen mogelijk als je uitgesteld kijkt;2.85
L5_3;Si les consommateurs ne regardent plus la publicité, les annonceurs ne paieront plus;Als de consumenten niet meer naar de reclame kijken, zullen de adverteerders niet meer betalen;3.01
L5_4;Les chaînes commerciales sont dépendantes des revenus de la publicité;De commerciële zenders zijn afhankelijk van de reclame-inkomsten;3.64
L5_5;Les blocs publicitaires seront plus ciblés à l’avenir;De kortere reclameblokken zullen in de toekomst gerichter zijn;2.0
L5_6;De plus en plus de belges utilisent ce programme lorsqu’ils surfent;Steeds meer belgen gebruiken dit programma als ze op het internet surfen;3.67
L5_7;Selon une enquête, il s’agirait d’un grand nombre de concitoyens;Volgens een onderzoek zou het gaan om een groot aantal landgenoten;3.68
L5_8;Le système fait en sorte que tu ne voies plus de publicité;Het systeem zorgt ervoor dat je geen reclame meer ziet;4.18
L5_9;Les sites qui tirent leurs revenus des annonces se sentent menacés;De websites die hun inkomsten uit advertenties halen voelen zich bedreigd;3.63
L5_10;Il ne sera plus possible d’offrir des informations gratuitement;In die omstandigheden zal het niet meer mogelijk zijn om gratis nieuws aan te bieden;4.4
L5_11;Les utilisateurs doivent pouvoir surfer sans être dérangés;De gebruikers moeten ongestoord kunnen surfen;3.3
L5_12;En réalité, l’utilisateur doit avoir le choix;In werkelijkheid moet de gebruiker de keuze krijgen;4.17
L5_13;Le spectateur se demande s’il verra de telles annonces;De kijker vraagt zich af of hij zulke advertenties zal zien;3.64
L5_14;Il est sûr qu’il faudra payer pour recevoir un meilleur contenu;Hij is er zeker van dat er betaald zal moeten worden om een betere inhoud te krijgen;4.34
L5_15;Ces garçons ont développé un nouveau modèle technologique;Het is waar dat die jongens een nieuw technologisch model hebben ontwikkeld;3.14
L5_16;Les jeunes doivent se rendre compte de ce qu’ils sont en train de faire;De jongeren moeten heel goed beseffen wat ze aan het doen zijn;4.09
L5_17;Il n’y aura plus rien de disponible gratuitement;Er zal niets meer gratis beschikbaar zijn;4.74
L6_1;Je ne comprends pas pourquoi les subsides baissent autant;Ik begrijp niet waarom de subsidies zoveel dalen;3.67
L6_2;Certains secteurs recevront plus de soutien qu’avant;Op termijn zullen sommige sectoren meer steun krijgen dan vroeger;3.79
L6_3;Les chinois fêtent la fête des célibataires le 11 novembre;Wist je dat chinezen vrijgezellendag vieren op de elfde dag van de elfde maand;1.12
L6_4;Ils ont quand même commandé quelque chose grâce aux remises;Omdat ze bijkomende kortingen hebben gekregen, hebben ze toch iets besteld;3.33
L6_5;On attend des jeunes qu'ils aient un boulot avant trente ans;Er wordt van de jongeren verwacht dat ze voor hun dertigste een job hebben;2.95
L6_6;À cause de son agenda trop rempli, il est trop exigeant;Omwille van zijn uitpuillende agenda is hij misschien te veeleisend;0.0
L6_7;Je suis content que l’on fasse enfin quelque chose contre le racisme;Ik ben blij dat er uiteindelijk iets wordt gedaan tegen het racisme;4.21
L6_8;J'espère que tout le monde pourra vivre sa passion sans être discriminé;Ik hoop dat iedereen zijn passie zou kunnen beleven zonder gediscrimineerd te worden;3.2
L7_1;C’est dans ce bureau que la comptabilité est tenue;Het is in dit kantoor dat de boekhouding wordt gehouden;3.54
L7_2;L’argent est viré vers l’étranger pour éluder les impôts;Het geld wordt naar het buitenland overgeschreven om de belastingen te ontwijken;2.67
L7_3;Cette filiale profite de la déduction des intérêts notionnels;Deze vestiging geniet van de notionele intrestaftrek;0.0
L7_4;Il ne doute pas que ce soit légal mais il trouve que ce n’est pas juste;Hij twijfelt er niet aan dat het wettelijk is maar hij vindt dat het niet eerlijk is;3.63
L7_5;Il attend des entreprises qu’elles apportent leur contribution à la société;Hij verwacht van bedrijven dat ze hun bijdragen aan de samenleving;4.19
L7_6;Il y a énormément de gens qui veulent travailler comme collaborateur;Er zijn heel veel mensen die als medewerker aan de slag willen;4.44
L7_7;Je viens voir s’il y a un job approprié pour moi;Ik kom kijken of er voor mij een geschikte job is;3.8
L7_8;Tout le monde recevra une formation et devra travailler dur;Iedereen zal een opleiding krijgen en hard moeten werken;4.54
L7_9;Il est important de travailler avec plaisir;Het is belangrijk met plezier te werken;4.77
L7_10;C’est différent pour tout le monde;Het is voor iedereen verschillend;4.12
L7_11;Chaque année, 2000 nouveaux produits sont créés;Ieder jaar worden er 2000 nieuwe producten gecreëerd;3.94
L7_12;Nous offrons une solution en fabriquant des produits utiles;Wij bieden een oplossing door producten te maken die problemen oplossen;4.14
L7_13;Cela n’a pas de sens de faire de grands meubles si les espaces sont petits;Het heeft geen zin om grote meubels te maken als de ruimtes klein zijn;3.55
L7_14;Tous les appareils doivent se trouver dans ce petit espace;Al de keukentoestellen moeten in deze kleine ruimte staan;0.0
L7_15;Lorsque tu as rassemblé l’information, tu peux commencer à travailler;Als je al de informatie verzameld hebt, kan je beginnen te werken;4.26
