id;fr_a_completer;nl;freq
MOTS_OUTILS_NL_50;elle / ils/elles;zij;5.97
MOTS_OUTILS_NL_51;comme / tel que;zoals;5.97
MOTS_OUTILS_NL_52;quelque chose;iets;5.95
MOTS_OUTILS_NL_53;parce que;omdat;5.95
MOTS_OUTILS_NL_54;quand (passé) / alors;toen;5.95
MOTS_OUTILS_NL_56;lui;hem;5.91
MOTS_OUTILS_NL_57;vous (pluriel);jullie;5.91
MOTS_OUTILS_NL_58;pendant;tijdens;5.91
MOTS_OUTILS_NL_59;entre;tussen;5.9
MOTS_OUTILS_NL_60;oui;ja;5.89
MOTS_OUTILS_NL_61;qui;wie;5.89
MOTS_OUTILS_NL_62;tout;alles;5.86
MOTS_OUTILS_NL_63;via / par;via;5.86
MOTS_OUTILS_NL_64;fini / à partir de;af;5.84
MOTS_OUTILS_NL_65;sans;zonder;5.84
MOTS_OUTILS_NL_66;tout le monde;iedereen;5.8
MOTS_OUTILS_NL_67;quelqu'un;iemand;5.79
MOTS_OUTILS_NL_68;à l'intérieur;binnen;5.78
MOTS_OUTILS_NL_69;votre (formel);uw;5.78
MOTS_OUTILS_NL_70;vers / assez;toe;5.74
MOTS_OUTILS_NL_71;l'un l'autre;elkaar;5.73
MOTS_OUTILS_NL_72;à partir de;vanaf;5.73
MOTS_OUTILS_NL_73;car;want;5.72
MOTS_OUTILS_NL_74;selon;volgens;5.68
MOTS_OUTILS_NL_75;toi;jou;5.66
MOTS_OUTILS_NL_76;quand;wanneer;5.66
MOTS_OUTILS_NL_77;rien;niets;5.65
MOTS_OUTILS_NL_78;par;per;5.65
MOTS_OUTILS_NL_79;chaque;elke;5.64
MOTS_OUTILS_NL_80;non;nee;5.63
MOTS_OUTILS_NL_82;derrière;achter;5.59
MOTS_OUTILS_NL_83;depuis;sinds;5.59
MOTS_OUTILS_NL_84;un tel;zo'n;5.59
MOTS_OUTILS_NL_85;à / au (fixe);ten;5.58
MOTS_OUTILS_NL_86;autour de;rond;5.56
MOTS_OUTILS_NL_87;ton / ta;jouw;5.55
MOTS_OUTILS_NL_88;lequel / quel;welke;5.53
MOTS_OUTILS_NL_89;dehors;buiten;5.52
MOTS_OUTILS_NL_90;quelques;enkele;5.52
MOTS_OUTILS_NL_91;à / pour (fixe);ter;5.51
MOTS_OUTILS_NL_92;quelque(s) / seul;enige;5.5
MOTS_OUTILS_NL_93;on;men;5.5
MOTS_OUTILS_NL_94;moins;minder;5.5
MOTS_OUTILS_NL_95;rien;niks;5.47
MOTS_OUTILS_NL_96;eux / leur;hen;5.46
MOTS_OUTILS_NL_97;tandis que;terwijl;5.46
MOTS_OUTILS_NL_98;depuis;vanuit;5.44
MOTS_OUTILS_NL_99;de sorte que;zodat;5.42
MOTS_OUTILS_NL_100;au-dessus;boven;5.4
MOTS_OUTILS_NL_101;de la (archaïque/figé);der;5.4
MOTS_OUTILS_NL_103;personne (nobody);niemand;5.4
MOTS_OUTILS_NL_104;à côté de;naast;5.37
MOTS_OUTILS_NL_105;aussi bien;zowel;5.36
MOTS_OUTILS_NL_106;hein / tu sais (particule);hoor;5.35
MOTS_OUTILS_NL_107;peu;weinig;5.35
MOTS_OUTILS_NL_108;plein;vol;5.34
MOTS_OUTILS_NL_110;certains;sommige;5.33
MOTS_OUTILS_NL_111;le long de;langs;5.31
MOTS_OUTILS_NL_113;après que;nadat;5.3
MOTS_OUTILS_NL_114;à cause de;vanwege;5.26
MOTS_OUTILS_NL_115;chaque;elk;5.25
MOTS_OUTILS_NL_116;avant que;voordat;5.25
MOTS_OUTILS_NL_117;les deux;beide;5.24
MOTS_OUTILS_NL_118;vers (là-bas);heen;5.2
MOTS_OUTILS_NL_119;chaque / chacun;ieder;5.2
MOTS_OUTILS_NL_120;oh;oh;5.18
MOTS_OUTILS_NL_121;lui-même/elle-même;zichzelf;5.18
MOTS_OUTILS_NL_122;comme si;alsof;5.17
MOTS_OUTILS_NL_123;bien que;hoewel;5.14
MOTS_OUTILS_NL_124;chaque;iedere;5.14
MOTS_OUTILS_NL_125;toi-même;jezelf;5.13
MOTS_OUTILS_NL_126;plusieurs;meerdere;5.09
MOTS_OUTILS_NL_127;malgré;ondanks;5.06
MOTS_OUTILS_NL_128;son / sa (contraction de zijn);z'n;5.06
MOTS_OUTILS_NL_129;il (familier);ie;5.05
MOTS_OUTILS_NL_132;grâce à;dankzij;5.03
MOTS_OUTILS_NL_134;un / une (variante affaiblie);ene;5.0
MOTS_OUTILS_NL_135;pendant (durée);gedurende;4.99
MOTS_OUTILS_NL_136;sauf;behalve;4.98
MOTS_OUTILS_NL_137;moi-même;mezelf;4.95
MOTS_OUTILS_NL_138;du fait que;doordat;4.94
MOTS_OUTILS_NL_139;quel;welk;4.94
MOTS_OUTILS_NL_141;en raison de;wegens;4.9
MOTS_OUTILS_NL_142;étant donné que;aangezien;4.88
MOTS_OUTILS_NL_143;tous;allen;4.86
MOTS_OUTILS_NL_144;bonjour / allô;hallo;4.82
MOTS_OUTILS_NL_145;d'accord;ok;4.82
MOTS_OUTILS_NL_146;dès que;zodra;4.82
MOTS_OUTILS_NL_147;tant que;zolang;4.81
MOTS_OUTILS_NL_148;vers le bas;neer;4.79
MOTS_OUTILS_NL_149;en face de;tegenover;4.79
