id;fr;nl;freq
VERBES_NL_179;accompagner;meegaan;3.73
VERBES_NL_180;signaler / annoncer;melden;4.73
VERBES_NL_181;penser / être sérieux;menen;3.95
VERBES_NL_182;remarquer;merken;4.45
VERBES_NL_183;mesurer;meten;4.12
VERBES_NL_184;devoir;moeten;6.03
VERBES_NL_185;pouvoir (permission);mogen;5.34
VERBES_NL_186;aller au cours;naar de les gaan;5.0
VERBES_NL_187;vérifier;nagaan;3.73
VERBES_NL_188;prendre;nemen;5.6
VERBES_NL_189;nommer / appeler;noemen;5.08
VERBES_NL_190;juger;oordelen;3.99
VERBES_NL_191;exercer / pratiquer;oefenen;4.48
VERBES_NL_192;déjeuner (matin);ontbijten;3.79
VERBES_NL_193;manquer;ontbreken;4.25
VERBES_NL_194;retenir / se souvenir;onthouden;4.3
VERBES_NL_195;rencontrer;ontmoeten;4.6
VERBES_NL_196;naître / provenir;ontstaan;4.97
VERBES_NL_197;recevoir;ontvangen;5.04
VERBES_NL_198;développer;ontwikkelen;4.69
VERBES_NL_199;téléphoner;opbellen;2.74
VERBES_NL_200;construire / édifier;opbouwen;4.15
VERBES_NL_201;enregistrer / décrocher;opnemen;4.59
VERBES_NL_202;faire attention;oppassen;3.84
VERBES_NL_203;fonder / établir;oprichten;3.85
VERBES_NL_204;résoudre;oplossen;4.61
VERBES_NL_205;se lever;opstaan;4.39
VERBES_NL_206;rédiger / dresser;opstellen;4.23
VERBES_NL_207;frapper / sauter aux yeux;opvallen;3.65
VERBES_NL_208;chercher / rendre visite;opzoeken;4.21
VERBES_NL_209;décéder;overlijden;4.48
VERBES_NL_210;traverser;oversteken;3.83
VERBES_NL_211;prendre / saisir;pakken;4.99
VERBES_NL_212;essayer / convenir;passen;4.69
VERBES_NL_213;avoir lieu;plaatsvinden;4.4
VERBES_NL_214;planifier;plannen;4.92
VERBES_NL_215;planter;planten;4.6
VERBES_NL_216;commettre;plegen;4.26
VERBES_NL_217;nettoyer;poetsen;3.77
VERBES_NL_218;parler / bavarder;praten;5.29
VERBES_NL_219;essayer;proberen;5.24
VERBES_NL_220;produire;produceren;4.3
VERBES_NL_221;publier;publiceren;4.11
VERBES_NL_222;donner des points;punten geven;4.95
VERBES_NL_223;toucher / atteindre;raken;4.73
VERBES_NL_224;réagir;reageren;4.76
VERBES_NL_225;voyager;reizen;4.82
VERBES_NL_226;compter / calculer;rekenen;4.48
VERBES_NL_227;freiner;remmen;3.91
VERBES_NL_228;rouler / conduire;rijden;5.13
VERBES_NL_229;appeler / crier;roepen;4.62
VERBES_NL_230;fumer;roken;4.47
VERBES_NL_231;échanger;ruilen;4.04
VERBES_NL_232;se reposer;rusten;4.25
VERBES_NL_233;séparer;scheiden;4.18
VERBES_NL_234;importer / y avoir une différence;schelen;4.22
VERBES_NL_235;offrir / verser;schenken;3.91
VERBES_NL_236;créer;scheppen;4.02
VERBES_NL_237;sembler / briller;schijnen;4.0
VERBES_NL_238;écrire;schrijven;5.07
VERBES_NL_239;s'effrayer;schrikken;3.99
VERBES_NL_240;frapper;slaan;4.87
VERBES_NL_241;réussir;slagen;4.28
VERBES_NL_242;dormir;slapen;5.06
VERBES_NL_243;fermer;sluiten;4.9
VERBES_NL_244;goûter (avoir un goût);smaken;3.95
VERBES_NL_245;jeter;smijten;3.07
VERBES_NL_246;couper;snijden;4.17
VERBES_NL_247;jouer;spelen;5.47
VERBES_NL_248;parler;spreken;5.04
VERBES_NL_249;sauter;springen;4.45
VERBES_NL_250;être debout;staan;5.71
VERBES_NL_251;marcher / monter (véhicule);stappen;4.86
VERBES_NL_252;piquer / mettre;steken;4.68
VERBES_NL_253;poser / placer;stellen;5.23
VERBES_NL_254;mourir;sterven;4.62
VERBES_NL_255;augmenter / monter;stijgen;4.21
VERBES_NL_256;s'arrêter / cesser;stoppen;5.1
VERBES_NL_257;étudier;studeren;4.5
VERBES_NL_258;envoyer / diriger;sturen;5.06
VERBES_NL_259;dessiner / signer;tekenen;4.6
VERBES_NL_260;compter;tellen;4.39
VERBES_NL_261;montrer;tonen;4.73
VERBES_NL_262;tirer;trekken;4.97
VERBES_NL_263;se marier;trouwen;4.61
VERBES_NL_264;tomber;vallen;5.16
VERBES_NL_265;attraper;vangen;4.47
VERBES_NL_266;naviguer;varen;4.29
VERBES_NL_267;se battre;vechten;4.7
VERBES_NL_268;changer;veranderen;5.11
VERBES_NL_269;améliorer / corriger;verbeteren;4.74
VERBES_NL_270;relier;verbinden;4.21
VERBES_NL_271;défendre;verdedigen;4.44
VERBES_NL_272;partager / répartir;verdelen;4.1
VERBES_NL_273;gagner (argent) / mériter;verdienen;4.85
VERBES_NL_274;comparer;vergelijken;4.43
VERBES_NL_275;oublier;vergeten;5.2
VERBES_NL_276;déménager;verhuizen;4.42
VERBES_NL_277;déclarer / expliquer;verklaren;4.39
VERBES_NL_278;vendre;verkopen;4.88
VERBES_NL_279;quitter;verlaten;4.94
VERBES_NL_280;prolonger;verlengen;4.11
VERBES_NL_281;perdre;verliezen;4.83
VERBES_NL_282;éviter;vermijden;4.29
VERBES_NL_283;soupçonner;vermoeden;4.3
VERBES_NL_284;emballer;verpakken;3.28
VERBES_NL_285;surprendre;verrassen;4.04
VERBES_NL_286;différer;verschillen;4.68
VERBES_NL_287;raconter;vertellen;5.17
VERBES_NL_288;partir;vertrekken;4.57
VERBES_NL_289;faire confiance;vertrouwen;5.06
VERBES_NL_290;remplacer;vervangen;4.87
VERBES_NL_291;peindre;verven;3.86
VERBES_NL_292;collectionner / rassembler;verzamelen;4.53
VERBES_NL_293;assurer;verzekeren;4.09
VERBES_NL_294;expédier;verzenden;3.6
VERBES_NL_295;soigner;verzorgen;4.17
VERBES_NL_296;trouver;vinden;5.75
VERBES_NL_297;voler (air);vliegen;4.74
VERBES_NL_298;sentir / ressentir;voelen;5.04
VERBES_NL_299;mener / nourrir;voeren;4.87
VERBES_NL_300;suivre;volgen;5.27
VERBES_NL_301;préparer;voorbereiden;4.26
VERBES_NL_302;prévenir / arriver;voorkomen;5.11
VERBES_NL_303;prédir;voorspellen;3.99
VERBES_NL_304;présenter;voorstellen;4.79
VERBES_NL_305;former;vormen;5.11
VERBES_NL_306;demander;vragen;5.65
VERBES_NL_307;geler;vriezen;3.24
VERBES_NL_308;remplir;vullen;4.38
VERBES_NL_309;avertir;waarschuwen;4.18
VERBES_NL_310;attendre;wachten;5.36
VERBES_NL_311;se promener;wandelen;4.43
VERBES_NL_312;laver;wassen;4.23
VERBES_NL_313;refuser;weigeren;4.27
VERBES_NL_314;éveiller;wekken;3.95
VERBES_NL_315;pleurer;wenen;4.27
VERBES_NL_316;s'habituer;wennen;4.24
VERBES_NL_317;souhaiter;wensen;4.7
VERBES_NL_318;travailler;werken;5.65
VERBES_NL_319;jeter;werpen;3.92
VERBES_NL_320;savoir;weten;5.73
VERBES_NL_321;indiquer;wijzen;4.55
VERBES_NL_322;vouloir;willen;5.81
VERBES_NL_323;gagner;winnen;5.0
VERBES_NL_324;habiter;wonen;5.14
VERBES_NL_325;devenir;worden;6.38
VERBES_NL_326;échouer / descendre;zakken;4.52
VERBES_NL_327;dire;zeggen;5.71
VERBES_NL_328;envoyer;zenden;3.93
VERBES_NL_329;mettre / poser;zetten;5.37
VERBES_NL_330;voir;zien;6.05
VERBES_NL_331;être;zijn;6.96
VERBES_NL_332;chanter;zingen;4.76
VERBES_NL_333;être assis;zitten;5.56
VERBES_NL_334;chercher;zoeken;5.33
VERBES_NL_335;soigner / veiller à;zorgen;5.46
VERBES_NL_336;auxiliaire futur;zullen;5.69
VERBES_NL_337;nager;zwemmen;4.6
VERBES_NL_338;se taire;zwijgen;4.35
