Langue;Mot;Traduction (Singulier / Pluriel);Pluriel NL;Statut;Frequence
nl;het gebied;le domaine (territoire) / les domaines;de gebieden;Prioritaire;5.42
nl;het gebouw;le bâtiment / les bâtiments;de gebouwen;Prioritaire;5.04
nl;het gebruik;l'usage / les usages;de gebruiken;Prioritaire;5.5
nl;de geboorte;la naissance / les naissances;de geboorten / geboortes;Prioritaire;4.45
nl;het gedrag;le comportement / (pas de pluriel);-;Prioritaire;4.87
nl;de gedachte;la pensée / les pensées;de gedachten;Prioritaire;4.5
nl;het gedeelte;la partie / les parties;de gedeelten / gedeeltes;Prioritaire;4.68
nl;het gedicht;le poème / les poèmes;de gedichten;Standard;4.26
nl;de geest;l'esprit / les esprits;de geesten;Prioritaire;4.74
nl;het gegeven;la donnée / les données;de gegevens;Prioritaire;5.23
nl;het geheel;l'ensemble / les ensembles;de gehelen;Prioritaire;5.03
nl;het geheim;le secret / les secrets;de geheimen;Prioritaire;4.54
nl;het geheugen;la mémoire / les mémoires;de geheugens;Prioritaire;4.36
nl;het geluk;le bonheur / (pas de pluriel);-;Prioritaire;4.97
nl;het geluid;le son / les sons;de geluiden;Prioritaire;4.76
nl;het geld;l'argent / (pas de pluriel);-;Prioritaire;5.6
nl;de gelegenheid;l'occasion / les occasions;de gelegenheden;Prioritaire;4.7
nl;het gelijk;le droit (avoir raison) / (pas de pluriel);-;Prioritaire;5.34
nl;de gelovige;le croyant / les croyants;de gelovigen;Standard;3.5
nl;de gemeente;la commune / les communes;de gemeenten / gemeentes;Prioritaire;5.35
nl;de generatie;la generatie / les générations;de generaties;Prioritaire;4.65
nl;het genot;le plaisir / (pas de pluriel);-;Standard;3.87
nl;het gerecht;le plat / les plats;de gerechten;Prioritaire;4.21
nl;het gereedschap;l'outillage / (pas de pluriel);-;Standard;3.98
nl;het geschil;le litige / les litiges;de geschillen;Standard;3.62
nl;de geschiedenis;l'histoire / (pas de pluriel);-;Prioritaire;5.24
nl;het gezelschap;la compagnie / les compagnies;de gezelschappen;Prioritaire;4.36
nl;het gezicht;le visage / les visages;de gezichten;Prioritaire;5.02
nl;het gezin;le ménage (famille) / les ménages;de gezinnen;Prioritaire;4.93
nl;het gevaar;le danger / les dangers;de gevaren;Prioritaire;4.82
nl;het geval;le cas / les cas;de gevallen;Prioritaire;5.33
nl;het gevoel;le sentiment / les sentiments;de gevoelens;Prioritaire;5.25
nl;het gevolg;la conséquence / les conséquences;de gevolgen;Prioritaire;5.02
nl;de gewoonte;l'habitude / les habitudes;de gewoonten / gewoontes;Prioritaire;4.1
nl;het gewicht;le poids / les poids;de gewichten;Prioritaire;4.48
nl;de geur;l'odeur / les odeurs;de geuren;Standard;4.29
nl;de gids;le guide / les guides;de gidsen;Standard;4.11
nl;het glas;le verre / les verres;de glazen;Prioritaire;4.65
nl;de god;le dieu / les dieux;de goden;Prioritaire;5.18
nl;de golf;la vague / les vagues;de golven;Prioritaire;4.65
nl;de grens;la frontière / les frontières;de grenzen;Prioritaire;4.84
nl;de groep;le groupe / les groupes;de groepen;Prioritaire;5.49
nl;de groente;le légume / les légumes;de groenten / groentes;Prioritaire;3.99
nl;de grond;le sol / les sols;de gronden;Prioritaire;5.16
nl;de groei;la croissance / (pas de pluriel);-;Prioritaire;4.64
nl;de haat;la haine / (pas de pluriel);-;Prioritaire;4.98
nl;het haar;le cheveu / les cheveux;de haren;Prioritaire;6.27
nl;de hand;la main / les mains;de handen;Prioritaire;5.38
nl;de handel;le commerce / (pas de pluriel);-;Prioritaire;4.64
nl;de haven;le port / les ports;de havens;Prioritaire;4.57
nl;het hart;le cœur / les cœurs;de harten;Prioritaire;5.2
nl;de heer;le seigneur (monsieur) / les seigneurs;de heren;Prioritaire;5.01
nl;het heden;le présent / (pas de pluriel);-;Prioritaire;4.5
nl;de heelal;l'univers / (pas de pluriel);-;Standard;3.83
nl;de helft;la moitié / les moitiés;de helften;Prioritaire;5.04
nl;de herinnering;le souvenir / les souvenirs;de herinneringen;Prioritaire;4.44
nl;de herkomst;l'origine / les origines;-;Standard;4.12
nl;het herstel;le rétablissement / la réparation;-;Prioritaire;4.4
nl;de heuvel;la colline / les collines;de heuvels;Standard;4.32
nl;de hitte;la chaleur / (pas de pluriel);-;Standard;4.16
nl;de hoek;le coin (l'angle) / les coins;de hoeken;Prioritaire;4.77
nl;de hoeve;la ferme / les fermes;de hoeven / hoeves;Standard;3.74
nl;de hoeveelheid;la quantité / les quantités;de hoeveelheden;Prioritaire;4.62
nl;het hof;la cour / les cours;de hoven;Prioritaire;4.63
nl;het hoofd;la tête / les têtes;de hoofden;Prioritaire;5.36
nl;de hoofdpijn;le mal de tête / les maux de tête;-;Standard;4.09
nl;de hoop;l'espoir / (pas de pluriel);-;Prioritaire;5.5
nl;de hoogte;la hauteur / les hauteurs;de hoogten / hoogtes;Prioritaire;5.06
nl;de horen;la corne (ou l'ouïe) / les cornes;de horens;Standard;5.38
nl;het hotel;l'hôtel / les hôtels;de hotels;Prioritaire;5.0
nl;de houding;l'attitude / les attitudes;de houdingen;Prioritaire;4.45
nl;het hout;le bois (matière) / (pas de pluriel);-;Prioritaire;4.53
nl;het huis;la maison / les maisons;de huizen;Prioritaire;5.72
nl;de hulp;l'aide / (pas de pluriel);-;Prioritaire;5.3
nl;het huwelijk;le mariage / les mariages;de huwelijken;Prioritaire;4.96
nl;het idee;l'idée / les idées;de ideeën;Prioritaire;5.41
nl;de ijs;la glace / (pas de pluriel);-;Prioritaire;4.47
nl;de indruk;l'impression / les impressions;de indrukken;Prioritaire;4.81
nl;de industrie;l'industrie / les industries;de industrieën;Prioritaire;4.64
nl;de informatie;l'information / les informations;de informaties;Prioritaire;5.45
nl;de inhoud;le contenu / les contenus;de inhouden;Prioritaire;4.82
nl;de inkomsten;les revenus / (toujours pluriel);de inkomsten;Prioritaire;4.37
nl;de inleiding;l'introduction / les introductions;de inleidingen;Prioritaire;3.98
nl;de inrichting;l'aménagement / les aménagements;de inrichtingen;Prioritaire;4.08
nl;de instelling;l'institution (ou réglage) / les institutions;de instellingen;Prioritaire;4.33
nl;de instrument;l'instrument / les instruments;de instrumenten;Prioritaire;4.22
nl;de interesse;l'intérêt / les intérêts;de interesses;Prioritaire;4.7
nl;de invloed;l'influence / les influences;de invloeden;Prioritaire;4.98
nl;de invoer;l'importation / (pas de pluriel);-;Prioritaire;3.54
nl;de inzet;l'enjeu / l'engagement / les enjeux;de inzetten;Prioritaire;4.73
nl;de inzinking;la dépression / l'affaissement / les dépressions;de inzinkingen;Standard;2.76
nl;de jaargang;l'année (publication) / les années;de jaargangen;Standard;3.59
nl;het jaar;l'année / les années;de jaren;Prioritaire;6.23
nl;de jager;le chasseur / les chasseurs;de jagers;Standard;3.98
nl;de jas;le manteau / les manteaux;de jassen;Prioritaire;4.49
nl;de jeugd;la jeunesse / (pas de pluriel);-;Prioritaire;4.92
nl;de jongere;le jeune / les jeunes;de jongeren;Prioritaire;4.41
nl;de journalist;le journaliste / les journalistes;de journalisten;Standard;4.63
nl;de kaart;la carte / les cartes;de kaarten;Prioritaire;5.03
nl;de kaas;le fromage / les fromages;de kazen;Standard;4.43
nl;het kader;le cadre / les cadres;de kaders;Prioritaire;4.66
nl;de kamer;la chambre / les chambres;de kamers;Prioritaire;5.28
nl;de kans;la chance (opportunité) / les chances;de kansen;Prioritaire;5.39
nl;de kant;le côté / les côtés;de kanten;Prioritaire;5.26
nl;het kantoor;le bureau (lieu) / les bureaux;de kantoren;Prioritaire;4.87
nl;de kapitein;le capitaine / les capitaines;de kapiteins;Standard;4.45
nl;de kar;la charrette / les charrettes;de karren;Standard;3.81
nl;de karakter;le caractère / les caractères;de karakters;Prioritaire;4.6
nl;de kas;la caisse (ou serre) / les caisses;de kassen;Prioritaire;3.87
nl;de kast;l'armoire / les armoires;de kasten;Prioritaire;4.52
nl;de kasteel;le château / les châteaux;de kastelen;Standard;4.46
nl;de keer;la fois / les fois;de keren;Prioritaire;5.8
nl;de kelder;la cave / les caves;de kelders;Standard;4.13
nl;de kennis;la connaissance / les connaissances;de kennissen;Prioritaire;5.01
nl;de keuze;le choix / les choix;de keuzen / keuzes;Prioritaire;5.01
nl;de kijk;le regard / la vue / les vues;de kijken;Prioritaire;5.61
nl;het kind;l'enfant / les enfants;de kinderen;Prioritaire;5.36
nl;de kip;le poulet / les poulets;de kippen;Standard;4.39
nl;de kist;la caisse (coffre) / les caisses;de kisten;Standard;3.93
nl;de klacht;la plainte / les plaintes;de klachten;Prioritaire;4.5
nl;de klant;le client / les clients;de klanten;Prioritaire;4.66
nl;de klas;la classe / les classes;de klassen;Prioritaire;4.66
nl;de kleding;les vêtements / (pas de pluriel);-;Prioritaire;4.77
nl;de kleren;les habits / (toujours pluriel);de kleren;Prioritaire;4.59
nl;de kleur;la couleur / les couleurs;de kleuren;Prioritaire;5.14
nl;de klok;l'horloge / les horloges;de klokken;Prioritaire;4.43
nl;de knoop;le bouton / le nœud / les nœuds;de knopen;Standard;3.97
nl;de koe;la vache / les vaches;de koeien;Standard;4.08
nl;de koers;le cours (bourse/route) / les cours;de koersen;Prioritaire;4.45
nl;de koffer;la valise / les valises;de koffers;Standard;4.14
nl;de koffie;le café / (pas de pluriel);-;Prioritaire;4.97
nl;de kogel;la balle (fusil) / les balles;de kogels;Standard;4.09
nl;de kok;le cuisinier / les cuisiniers;de koks;Standard;4.3
nl;de kolom;la colonne / les colonnes;de kolommen;Standard;3.57
nl;de kom;le bol / les bols;de kommen;Standard;5.62
nl;de komst;la venue / l'arrivée / les venues;de komsten;Prioritaire;4.51
nl;de koning;le roi / les rois;de koningen;Prioritaire;5.09
nl;de koningin;la reine / les reines;de koninginnen;Prioritaire;4.69
nl;de kont;le cul / les culs;de konten;Standard;4.61
nl;de kook;la cuisine (action) / (pas de pluriel);-;Prioritaire;4.01
nl;de kool;le chou / les choux;de kolen;Standard;3.72
nl;de koop;l'achat / les achats;de kopen;Prioritaire;4.85
nl;de koper;l'acheteur / les acheteurs;de kopers;Prioritaire;4.16
nl;de kop;la tête (animal/tasse) / les têtes;de koppen;Prioritaire;5.09
nl;de korting;la réduction / les réductions;de kortingen;Standard;4.56
nl;de kost;la nourriture / les frais / (pas de pluriel);-;Prioritaire;4.91
nl;de kou;le froid / (pas de pluriel);-;Prioritaire;4.15
nl;de kracht;la force / les forces;de krachten;Prioritaire;5.04
nl;de krant;le journal / les journaux;de kranten;Prioritaire;4.77
nl;de kring;le cercle / les cercles;de kringen;Prioritaire;3.99
nl;de kritiek;la critique / les critiques;de kritieken;Prioritaire;4.74
nl;de kroeg;le café (bistrot) / les cafés;de kroegen;Standard;3.84
nl;de kruis;la croix / les croix;de kruisen;Standard;4.39
nl;de kwaliteit;la qualité / les qualités;de kwaliteiten;Prioritaire;4.72
nl;de kwartier;le quart d'heure / les quarts d'heure;de kwartieren;Prioritaire;4.18
nl;de kwestie;la question (problème) / les questions;de kwesties;Prioritaire;4.62
nl;de laag;la couche / les couches;de lagen;Prioritaire;4.77
nl;de landbouw;l'agriculture / (pas de pluriel);-;Prioritaire;4.46
nl;het land;le pays (la terre) / les pays;de landen;Prioritaire;5.68
nl;de lader;le chargeur / les chargeurs;de laders;Standard;3.47
nl;de last;la charge / le poids / les charges;de lasten;Prioritaire;4.92
nl;de leeftijd;l'âge / les âges;de leeftijden;Prioritaire;5.21
nl;het leer;le cuir / (pas de pluriel);-;Prioritaire;4.75
nl;de leerling;l'élève / les élèves;de leerlingen;Prioritaire;4.36
nl;de leiding;la direction (conduite) / les directions;de leidingen;Prioritaire;4.83
nl;het leger;l'armée / les armées;de legers;Prioritaire;5.13
nl;de les;la leçon / les leçons;de lessen;Prioritaire;5.04
nl;de letter;la lettre (alphabet) / les lettres;de letters;Prioritaire;4.2
nl;het leven;la vie / les vies;de levens;Prioritaire;5.94
nl;de levering;la livraison / les livraisons;de leveringen;Prioritaire;3.94
nl;de leugen;le mensonge / les mensonges;de leugens;Standard;4.23
nl;het lid;le membre (club) / les membres;de leden;Prioritaire;5.21
nl;het lied;la chanson / les chansons;de liederen;Standard;4.51
nl;het licht;la lumière / les lumières;de lichten;Prioritaire;5.11
nl;de liefde;l'amour / les amours;de liefden / liefdes;Prioritaire;5.21
nl;het lijf;le corps / les corps;de lijven;Prioritaire;4.37
nl;de lijst;la liste / les listes;de lijsten;Prioritaire;5.13
nl;de lijn;la ligne / les lignes;de lijnen;Prioritaire;4.94
nl;het lokaal;le local / les locaux;de lokalen;Standard;4.36
nl;het loon;le salaire / les salaires;de lonen;Prioritaire;4.42
nl;de loop;le cours (marche) / (pas de pluriel);-;Prioritaire;4.97
nl;de lucht;l'air / le ciel / les airs;de luchten;Prioritaire;4.99
nl;de luidspreker;le haut-parleur / les haut-parleurs;de luidsprekers;Standard;3.22
nl;de lunch;le lunch / les lunchs;de lunches;Standard;4.49
nl;de maaltijd;le repas / les repas;de maaltijden;Prioritaire;4.24
nl;de maand;le mois / les mois;de maanden;Prioritaire;5.29
nl;de maat;la mesure / les mesures;de maten;Prioritaire;4.8
nl;de maatregel;la mesure (disposition) / les mesures;de maatregelen;Prioritaire;4.15
nl;de maatschappij;la société / les sociétés;de maatschappijen;Prioritaire;4.77
nl;de macht;le pouvoir / les pouvoirs;de machten;Prioritaire;4.97
nl;de mama;la maman / les mamans;de mama's;Standard;4.87
nl;de man;l'homme / les hommes;de mannen;Prioritaire;5.84
nl;de manier;la manière / les manières;de manieren;Prioritaire;5.53
nl;de markt;le marché / les marchés;de markten;Prioritaire;5.0
nl;de massa;la masse / les masses;de massa's;Prioritaire;4.32
nl;het materiaal;le matériel / les matériaux;de materialen;Prioritaire;4.69
nl;de medewerker;le collaborateur / les collaborateurs;de medewerkers;Prioritaire;4.66
nl;de meid;la fille / la servante / les filles;de meiden;Standard;4.75
nl;de mening;l'avis / les avis;de meningen;Prioritaire;4.93
nl;de mens;l'être humain / les êtres humains;de mensen;Prioritaire;5.17
nl;het merk;la marque / les marques;de merken;Prioritaire;4.69
nl;het mes;le couteau / les couteaux;de messen;Prioritaire;4.31
nl;de methode;la méthode / les méthodes;de methoden / methodes;Prioritaire;4.41
nl;het middel;le moyen / les moyens;de middelen;Prioritaire;4.89
nl;de middag;le midi (après-midi) / les midis;de middagen;Prioritaire;4.5
nl;de milieu;le milieu / les milieux;de milieus;Prioritaire;4.65
nl;de minuut;la minute / les minutes;de minuten;Prioritaire;4.65
nl;de misdaad;le crime / les crimes;de misdaden;Standard;4.43
nl;de mode;la mode / les modes;de modes;Prioritaire;4.45
nl;de moeder;la mère / les mères;de moeders;Prioritaire;5.41
nl;de moed;le courage / (pas de pluriel);-;Prioritaire;4.45
nl;de moeite;la peine (effort) / les peines;de moeiten / moeites;Prioritaire;4.97
nl;de mond;la bouche / les bouches;de monden;Prioritaire;4.89
nl;het moment;le moment / les moments;de momenten;Prioritaire;5.54
nl;de monitor;le moniteur / l'écran / les écrans;de monitors / monitoren;Standard;3.74
nl;de moord;le meurtre / les meurtres;de moorden;Standard;4.98
nl;de morgen;le matin / les matins;de morgens;Prioritaire;5.31
nl;de motor;le moteur / les moteurs;de motoren / motors;Prioritaire;4.73
nl;de mouw;la manche / les manches;de mouwen;Standard;3.55
nl;de muis;la souris / les souris;de muizen;Standard;4.03
nl;de munt;la monnaie / les monnaies;de munten;Prioritaire;4.11
nl;de muur;le mur / les murs;de muren;Prioritaire;4.83
nl;de muziek;la musique / (pas de pluriel);-;Prioritaire;5.37
nl;de naam;le nom / les noms;de namen;Prioritaire;5.69
nl;de naarheid;le malaise / la désagrément / les malaises;de naarheden;Standard;0.0
nl;de nadeel;le désavantage / les désavantages;de nadelen;Prioritaire;4.02
nl;de nadruk;l'accent (insistance) / (pas de pluriel);-;Prioritaire;4.24
nl;de nacht;la nuit / les nuits;de nachten;Prioritaire;5.09
nl;de natuur;la nature / (pas de pluriel);-;Prioritaire;4.85
nl;de nederlaag;la défaite / les défaites;de nederlagen;Standard;4.29
nl;de neef;le cousin (ou neveu) / les cousins;de neven;Standard;4.41
nl;de neiging;la tendance / les tendances;de neigingen;Prioritaire;3.96
nl;de nek;la nuque / les nuques;de nekken;Standard;4.45
nl;het net;le réseau / le filet / les réseaux;de netten;Prioritaire;5.85
nl;de neus;le nez / les nez;de neuzen;Standard;4.63
nl;het nieuws;la nouvelle (info) / (pas de pluriel);-;Prioritaire;5.56
nl;het niveau;le niveau / les niveaux;de niveaus;Prioritaire;4.93
nl;de nood;le besoin (nécessité) / les besoins;de noden;Prioritaire;4.31
nl;de norm;la norme / les normes;de normen;Prioritaire;4.05
nl;de nota;la note / les notes;de nota's;Standard;3.77
nl;het nummer;le numéro / les numéros;de nummers;Prioritaire;5.32
nl;het nut;l'utilité / (pas de pluriel);-;Prioritaire;4.21
nl;de ochtend;le matin / les matins;de ochtenden;Prioritaire;4.81
nl;de oefening;l'exercice / les exercices;de oefeningen;Prioritaire;4.23
nl;het oog;l'oeil / les yeux;de ogen;Prioritaire;4.89
nl;de oorlog;la guerre / les guerres;de oorlogen;Prioritaire;5.29
nl;de oom;l'oncle / les oncles;de ooms;Standard;4.4
nl;de oorzaak;la cause / les causes;de oorzaken;Prioritaire;4.62
nl;de oplossing;la solution / les solutions;de oplossingen;Prioritaire;4.94
nl;de opleiding;la formation / les formations;de opleidingen;Prioritaire;4.86
nl;de opname;l'enregistrement / l'admission / les enregistrements;de opnamen / opnames;Prioritaire;4.41
nl;de oppervlakte;la surface / les surfaces;de oppervlakten / oppervlaktes;Prioritaire;4.29
nl;de opdracht;la mission / la commande / les missions;de opdrachten;Prioritaire;4.94
nl;de opmerking;la remarque / les remarques;de opmerkingen;Prioritaire;4.39
nl;de opvoeding;l'éducation / (pas de pluriel);-;Prioritaire;4.09
nl;de opvolging;la succession / le suivi / (pas de pluriel);-;Standard;3.72
nl;de orde;l'ordre / (pas de pluriel);-;Prioritaire;5.27
nl;de organisatie;l'organisation / les organisations;de organisaties;Prioritaire;5.2
nl;de ouder;le parent / les parents;de ouders;Prioritaire;4.7
nl;de overheid;l'autorité (publique) / les autorités;de overheden;Prioritaire;5.05
nl;de overtuiging;la conviction / les convictions;de overtuigingen;Prioritaire;4.02
nl;het overleg;la concertation / (pas de pluriel);-;Prioritaire;4.4
nl;de pa;le papa / les papas;de pa's;Standard;4.39
nl;het paar;la paire (le couple) / les paires;de paren;Prioritaire;5.61
nl;het paard;le cheval / les chevaux;de paarden;Standard;4.66
nl;de pagina;la page / les pages;de pagina's;Standard;5.04
nl;het pakket;le paquet / les paquets;de pakketten;Standard;4.36
nl;het paleis;le palais / les palais;de paleizen;Standard;4.47
nl;het papier;le papier / les papiers;de papieren;Prioritaire;4.51
nl;de partij;le parti / la partie (match) / les parties;de partijen;Prioritaire;5.32
nl;de partner;le partenaire / les partenaires;de partners;Prioritaire;4.75
nl;de pas;le pas / le passeport / les pas;de passen;Prioritaire;5.45
nl;de patiënt;le patient / les patients;de patiënten;Standard;4.51
nl;de pauze;la pause / les pauses;de pauzes / pauzen;Standard;4.34
nl;de peer;la poire / les poires;de peren;Standard;3.85
nl;de pen;la plume (stylo) / les plumes;de pennen;Standard;4.35
nl;de periode;la période / les périodes;de perioden / periodes;Prioritaire;5.08
nl;de persoon;la personne / les personnes;de personen;Prioritaire;5.22
nl;de pet;la casquette / les casquettes;de petten;Standard;4.07
nl;de pijn;la douleur / les douleurs;de pijnen;Prioritaire;5.1
nl;de plaats;la place (le lieu) / les places;de plaatsen;Prioritaire;5.74
nl;het plan;le plan / les plans;de plannen;Prioritaire;5.18
nl;de plant;la plante / les plantes;de planten;Standard;4.43
nl;de plaat;la plaque / le disque / les plaques;de platen;Standard;4.44
nl;het plezier;le plaisir / (pas de pluriel);-;Prioritaire;5.01
nl;de ploeg;l'équipe / les équipes;de ploegen;Prioritaire;4.55
nl;de politie;la police / (pas de pluriel);-;Prioritaire;5.53
nl;de politiek;la politique / (pas de pluriel);-;Prioritaire;5.17
nl;de poort;le portail / la porte / les portes;de poorten;Standard;4.46
nl;de poot;la patte / les pattes;de poten;Standard;3.75
nl;de post;la poste / le courrier / (pas de pluriel);-;Prioritaire;4.93
nl;de pot;le pot / les pots;de potten;Standard;4.38
nl;de praktijk;la pratique / les pratiques;de praktijken;Prioritaire;4.56
nl;de prijs;le prix / les prix;de prijzen;Prioritaire;5.28
nl;het principe;le principe / les principes;de principes / principia;Prioritaire;4.46
nl;het probleem;le problème / les problèmes;de problemen;Prioritaire;5.44
nl;het proces;le procès / le processus / les processus;de processen;Prioritaire;4.87
nl;het product;le produit / les produits;de producten;Prioritaire;4.64
nl;de productie;la production / (pas de pluriel);-;Prioritaire;4.75
nl;het programma;le programme / les programmes;de programma's;Prioritaire;5.28
nl;het project;le projet / les projets;de projecten;Prioritaire;5.17
