id;fr;nl;freq
NOMS_NL_80;la durée / (pas de pluriel);de duur;4.71
NOMS_NL_81;le nain / les nains;de dwerg;3.64
NOMS_NL_82;le mariage / (pas de pluriel);de echt;6.0
NOMS_NL_83;l'économie / les économies;de economie;5.0
NOMS_NL_84;l'unité / les unités;de eenheid;4.66
NOMS_NL_85;le siècle / les siècles;de eeuw;4.96
NOMS_NL_86;l'effet / les effets;het effect;4.68
NOMS_NL_87;l'oeuf / les oeufs;het ei;4.32
NOMS_NL_88;l'originalité / (pas de pluriel);de eigenheid;2.74
NOMS_NL_89;l'île / les îles;het eiland;5.1
NOMS_NL_90;l'exigence / les exigences;de eis;4.13
NOMS_NL_91;la fin / les fins;het einde;5.28
NOMS_NL_92;l'expérience / les expériences;de ervaring;4.95
NOMS_NL_93;la fabrique / les fabriques;de fabriek;4.36
NOMS_NL_94;le fait / les faits;het feit;5.02
NOMS_NL_95;le vélo / les vélos;de fiets;4.77
NOMS_NL_96;la figure / les figures;de figuur;4.4
NOMS_NL_97;le film / les films;de film;5.47
NOMS_NL_98;la bouteille / les bouteilles;de fles;4.34
NOMS_NL_99;la faute / les fautes;de fout;4.99
NOMS_NL_100;la fonction / les fonctions;de functie;4.92
NOMS_NL_101;la garantie / les garanties;de garantie;4.07
NOMS_NL_102;le trou / les trous;het gat;4.49
NOMS_NL_103;le domaine (territoire) / les domaines;het gebied;5.42
NOMS_NL_104;le bâtiment / les bâtiments;het gebouw;5.04
NOMS_NL_105;l'usage / les usages;het gebruik;5.5
NOMS_NL_106;la naissance / les naissances;de geboorte;4.45
NOMS_NL_107;le comportement / (pas de pluriel);het gedrag;4.87
NOMS_NL_108;la pensée / les pensées;de gedachte;4.5
NOMS_NL_109;la partie / les parties;het gedeelte;4.68
NOMS_NL_110;le poème / les poèmes;het gedicht;4.26
NOMS_NL_111;l'esprit / les esprits;de geest;4.74
NOMS_NL_112;la donnée / les données;het gegeven;5.23
NOMS_NL_113;l'ensemble / les ensembles;het geheel;5.03
NOMS_NL_114;le secret / les secrets;het geheim;4.54
NOMS_NL_115;la mémoire / les mémoires;het geheugen;4.36
NOMS_NL_116;le bonheur / (pas de pluriel);het geluk;4.97
NOMS_NL_117;le son / les sons;het geluid;4.76
NOMS_NL_118;l'argent / (pas de pluriel);het geld;5.6
NOMS_NL_119;l'occasion / les occasions;de gelegenheid;4.7
NOMS_NL_120;le droit (avoir raison) / (pas de pluriel);het gelijk;5.34
NOMS_NL_121;le croyant / les croyants;de gelovige;3.5
NOMS_NL_122;la commune / les communes;de gemeente;5.35
NOMS_NL_123;la generatie / les générations;de generatie;4.65
NOMS_NL_124;le plaisir / (pas de pluriel);het genot;3.87
NOMS_NL_125;le plat / les plats;het gerecht;4.21
NOMS_NL_126;l'outillage / (pas de pluriel);het gereedschap;3.98
NOMS_NL_127;le litige / les litiges;het geschil;3.62
NOMS_NL_128;l'histoire / (pas de pluriel);de geschiedenis;5.24
NOMS_NL_129;la compagnie / les compagnies;het gezelschap;4.36
NOMS_NL_130;le visage / les visages;het gezicht;5.02
NOMS_NL_131;le ménage (famille) / les ménages;het gezin;4.93
NOMS_NL_132;le danger / les dangers;het gevaar;4.82
NOMS_NL_133;le cas / les cas;het geval;5.33
NOMS_NL_134;le sentiment / les sentiments;het gevoel;5.25
NOMS_NL_135;la conséquence / les conséquences;het gevolg;5.02
NOMS_NL_136;l'habitude / les habitudes;de gewoonte;4.1
NOMS_NL_137;le poids / les poids;het gewicht;4.48
NOMS_NL_138;l'odeur / les odeurs;de geur;4.29
NOMS_NL_139;le guide / les guides;de gids;4.11
NOMS_NL_140;le verre / les verres;het glas;4.65
NOMS_NL_141;le dieu / les dieux;de god;5.18
NOMS_NL_142;la vague / les vagues;de golf;4.65
NOMS_NL_143;la frontière / les frontières;de grens;4.84
NOMS_NL_144;le groupe / les groupes;de groep;5.49
NOMS_NL_145;le légume / les légumes;de groente;3.99
NOMS_NL_146;le sol / les sols;de grond;5.16
NOMS_NL_147;la croissance / (pas de pluriel);de groei;4.64
NOMS_NL_148;la haine / (pas de pluriel);de haat;4.98
NOMS_NL_149;le cheveu / les cheveux;het haar;6.27
NOMS_NL_150;la main / les mains;de hand;5.38
NOMS_NL_151;le commerce / (pas de pluriel);de handel;4.64
NOMS_NL_152;le port / les ports;de haven;4.57
NOMS_NL_153;le cœur / les cœurs;het hart;5.2
NOMS_NL_154;le seigneur (monsieur) / les seigneurs;de heer;5.01
NOMS_NL_155;le présent / (pas de pluriel);het heden;4.5
NOMS_NL_156;l'univers / (pas de pluriel);de heelal;3.83
NOMS_NL_157;la moitié / les moitiés;de helft;5.04
NOMS_NL_158;le souvenir / les souvenirs;de herinnering;4.44
NOMS_NL_159;l'origine / les origines;de herkomst;4.12
NOMS_NL_160;le rétablissement / la réparation;het herstel;4.4
NOMS_NL_161;la colline / les collines;de heuvel;4.32
NOMS_NL_162;la chaleur / (pas de pluriel);de hitte;4.16
NOMS_NL_163;le coin (l'angle) / les coins;de hoek;4.77
NOMS_NL_164;la ferme / les fermes;de hoeve;3.74
NOMS_NL_165;la quantité / les quantités;de hoeveelheid;4.62
NOMS_NL_166;la cour / les cours;het hof;4.63
NOMS_NL_167;la tête / les têtes;het hoofd;5.36
NOMS_NL_168;le mal de tête / les maux de tête;de hoofdpijn;4.09
NOMS_NL_169;l'espoir / (pas de pluriel);de hoop;5.5
NOMS_NL_170;la hauteur / les hauteurs;de hoogte;5.06
NOMS_NL_171;la corne (ou l'ouïe) / les cornes;de horen;5.38
NOMS_NL_172;l'hôtel / les hôtels;het hotel;5.0
NOMS_NL_173;l'attitude / les attitudes;de houding;4.45
NOMS_NL_174;le bois (matière) / (pas de pluriel);het hout;4.53
NOMS_NL_175;la maison / les maisons;het huis;5.72
NOMS_NL_176;l'aide / (pas de pluriel);de hulp;5.3
NOMS_NL_177;le mariage / les mariages;het huwelijk;4.96
NOMS_NL_178;l'idée / les idées;het idee;5.41
NOMS_NL_179;la glace / (pas de pluriel);de ijs;4.47
NOMS_NL_180;l'impression / les impressions;de indruk;4.81
NOMS_NL_181;l'industrie / les industries;de industrie;4.64
NOMS_NL_182;l'information / les informations;de informatie;5.45
NOMS_NL_183;le contenu / les contenus;de inhoud;4.82
NOMS_NL_184;les revenus / (toujours pluriel);de inkomsten;4.37
NOMS_NL_185;l'introduction / les introductions;de inleiding;3.98
NOMS_NL_186;l'aménagement / les aménagements;de inrichting;4.08
NOMS_NL_187;l'institution (ou réglage) / les institutions;de instelling;4.33
NOMS_NL_188;l'instrument / les instruments;de instrument;4.22
NOMS_NL_189;l'intérêt / les intérêts;de interesse;4.7
NOMS_NL_190;l'influence / les influences;de invloed;4.98
NOMS_NL_191;l'importation / (pas de pluriel);de invoer;3.54
NOMS_NL_192;l'enjeu / l'engagement / les enjeux;de inzet;4.73
NOMS_NL_193;la dépression / l'affaissement / les dépressions;de inzinking;2.76
NOMS_NL_194;l'année (publication) / les années;de jaargang;3.59
NOMS_NL_195;l'année / les années;het jaar;6.23
NOMS_NL_196;le chasseur / les chasseurs;de jager;3.98
NOMS_NL_197;le manteau / les manteaux;de jas;4.49
NOMS_NL_198;la jeunesse / (pas de pluriel);de jeugd;4.92
NOMS_NL_199;le jeune / les jeunes;de jongere;4.41
NOMS_NL_200;le journaliste / les journalistes;de journalist;4.63
NOMS_NL_201;la carte / les cartes;de kaart;5.03
NOMS_NL_202;le fromage / les fromages;de kaas;4.43
NOMS_NL_203;le cadre / les cadres;het kader;4.66
NOMS_NL_204;la chambre / les chambres;de kamer;5.28
NOMS_NL_205;la chance (opportunité) / les chances;de kans;5.39
NOMS_NL_206;le côté / les côtés;de kant;5.26
NOMS_NL_207;le bureau (lieu) / les bureaux;het kantoor;4.87
NOMS_NL_208;le capitaine / les capitaines;de kapitein;4.45
NOMS_NL_209;la charrette / les charrettes;de kar;3.81
NOMS_NL_210;le caractère / les caractères;de karakter;4.6
NOMS_NL_211;la caisse (ou serre) / les caisses;de kas;3.87
NOMS_NL_212;l'armoire / les armoires;de kast;4.52
NOMS_NL_213;le château / les châteaux;de kasteel;4.46
NOMS_NL_214;la fois / les fois;de keer;5.8
NOMS_NL_215;la cave / les caves;de kelder;4.13
NOMS_NL_216;la connaissance / les connaissances;de kennis;5.01
NOMS_NL_217;le choix / les choix;de keuze;5.01
NOMS_NL_218;le regard / la vue / les vues;de kijk;5.61
NOMS_NL_219;l'enfant / les enfants;het kind;5.36
NOMS_NL_220;le poulet / les poulets;de kip;4.39
NOMS_NL_221;la caisse (coffre) / les caisses;de kist;3.93
NOMS_NL_222;la plainte / les plaintes;de klacht;4.5
NOMS_NL_223;le client / les clients;de klant;4.66
NOMS_NL_224;la classe / les classes;de klas;4.66
NOMS_NL_225;les vêtements / (pas de pluriel);de kleding;4.77
NOMS_NL_226;les habits / (toujours pluriel);de kleren;4.59
NOMS_NL_227;la couleur / les couleurs;de kleur;5.14
NOMS_NL_228;l'horloge / les horloges;de klok;4.43
NOMS_NL_229;le bouton / le nœud / les nœuds;de knoop;3.97
NOMS_NL_230;la vache / les vaches;de koe;4.08
NOMS_NL_231;le cours (bourse/route) / les cours;de koers;4.45
NOMS_NL_232;la valise / les valises;de koffer;4.14
NOMS_NL_233;le café / (pas de pluriel);de koffie;4.97
NOMS_NL_234;la balle (fusil) / les balles;de kogel;4.09
NOMS_NL_235;le cuisinier / les cuisiniers;de kok;4.3
NOMS_NL_236;la colonne / les colonnes;de kolom;3.57
NOMS_NL_237;le bol / les bols;de kom;5.62
NOMS_NL_238;la venue / l'arrivée / les venues;de komst;4.51
NOMS_NL_239;le roi / les rois;de koning;5.09
NOMS_NL_240;la reine / les reines;de koningin;4.69
NOMS_NL_241;le cul / les culs;de kont;4.61
NOMS_NL_242;la cuisine (action) / (pas de pluriel);de kook;4.01
NOMS_NL_243;le chou / les choux;de kool;3.72
NOMS_NL_244;l'achat / les achats;de koop;4.85
NOMS_NL_245;l'acheteur / les acheteurs;de koper;4.16
NOMS_NL_246;la tête (animal/tasse) / les têtes;de kop;5.09
NOMS_NL_247;la réduction / les réductions;de korting;4.56
NOMS_NL_248;la nourriture / les frais / (pas de pluriel);de kost;4.91
NOMS_NL_249;le froid / (pas de pluriel);de kou;4.15
NOMS_NL_250;la force / les forces;de kracht;5.04
NOMS_NL_251;le journal / les journaux;de krant;4.77
NOMS_NL_252;le cercle / les cercles;de kring;3.99
NOMS_NL_253;la critique / les critiques;de kritiek;4.74
NOMS_NL_254;le café (bistrot) / les cafés;de kroeg;3.84
NOMS_NL_255;la croix / les croix;de kruis;4.39
NOMS_NL_256;la qualité / les qualités;de kwaliteit;4.72
NOMS_NL_257;le quart d'heure / les quarts d'heure;de kwartier;4.18
NOMS_NL_258;la question (problème) / les questions;de kwestie;4.62
NOMS_NL_259;la couche / les couches;de laag;4.77
NOMS_NL_260;l'agriculture / (pas de pluriel);de landbouw;4.46
NOMS_NL_261;le pays (la terre) / les pays;het land;5.68
NOMS_NL_262;le chargeur / les chargeurs;de lader;3.47
NOMS_NL_263;la charge / le poids / les charges;de last;4.92
NOMS_NL_264;l'âge / les âges;de leeftijd;5.21
NOMS_NL_265;le cuir / (pas de pluriel);het leer;4.75
NOMS_NL_266;l'élève / les élèves;de leerling;4.36
NOMS_NL_267;la direction (conduite) / les directions;de leiding;4.83
NOMS_NL_268;l'armée / les armées;het leger;5.13
NOMS_NL_269;la leçon / les leçons;de les;5.04
NOMS_NL_270;la lettre (alphabet) / les lettres;de letter;4.2
NOMS_NL_271;la vie / les vies;het leven;5.94
NOMS_NL_272;la livraison / les livraisons;de levering;3.94
NOMS_NL_273;le mensonge / les mensonges;de leugen;4.23
NOMS_NL_274;le membre (club) / les membres;het lid;5.21
NOMS_NL_275;la chanson / les chansons;het lied;4.51
NOMS_NL_276;la lumière / les lumières;het licht;5.11
NOMS_NL_277;l'amour / les amours;de liefde;5.21
NOMS_NL_278;le corps / les corps;het lijf;4.37
NOMS_NL_279;la liste / les listes;de lijst;5.13
NOMS_NL_280;la ligne / les lignes;de lijn;4.94
NOMS_NL_281;le local / les locaux;het lokaal;4.36
NOMS_NL_282;le salaire / les salaires;het loon;4.42
NOMS_NL_283;le cours (marche) / (pas de pluriel);de loop;4.97
NOMS_NL_284;l'air / le ciel / les airs;de lucht;4.99
NOMS_NL_285;le haut-parleur / les haut-parleurs;de luidspreker;3.22
NOMS_NL_286;le lunch / les lunchs;de lunch;4.49
NOMS_NL_287;le repas / les repas;de maaltijd;4.24
NOMS_NL_288;le mois / les mois;de maand;5.29
NOMS_NL_289;la mesure / les mesures;de maat;4.8
NOMS_NL_290;la mesure (disposition) / les mesures;de maatregel;4.15
NOMS_NL_291;la société / les sociétés;de maatschappij;4.77
NOMS_NL_292;le pouvoir / les pouvoirs;de macht;4.97
NOMS_NL_293;la maman / les mamans;de mama;4.87
NOMS_NL_294;l'homme / les hommes;de man;5.84
NOMS_NL_295;la manière / les manières;de manier;5.53
NOMS_NL_296;le marché / les marchés;de markt;5.0
NOMS_NL_297;la masse / les masses;de massa;4.32
NOMS_NL_298;le matériel / les matériaux;het materiaal;4.69
NOMS_NL_299;le collaborateur / les collaborateurs;de medewerker;4.66
NOMS_NL_300;la fille / la servante / les filles;de meid;4.75
NOMS_NL_301;l'avis / les avis;de mening;4.93
NOMS_NL_302;l'être humain / les êtres humains;de mens;5.17
NOMS_NL_303;la marque / les marques;het merk;4.69
NOMS_NL_304;le couteau / les couteaux;het mes;4.31
NOMS_NL_305;la méthode / les méthodes;de methode;4.41
NOMS_NL_306;le moyen / les moyens;het middel;4.89
NOMS_NL_307;le midi (après-midi) / les midis;de middag;4.5
NOMS_NL_308;le milieu / les milieux;de milieu;4.65
NOMS_NL_309;la minute / les minutes;de minuut;4.65
NOMS_NL_310;le crime / les crimes;de misdaad;4.43
NOMS_NL_311;la mode / les modes;de mode;4.45
NOMS_NL_312;la mère / les mères;de moeder;5.41
NOMS_NL_313;le courage / (pas de pluriel);de moed;4.45
NOMS_NL_314;la peine (effort) / les peines;de moeite;4.97
NOMS_NL_315;la bouche / les bouches;de mond;4.89
NOMS_NL_316;le moment / les moments;het moment;5.54
NOMS_NL_317;le moniteur / l'écran / les écrans;de monitor;3.74
NOMS_NL_318;le meurtre / les meurtres;de moord;4.98
NOMS_NL_319;le matin / les matins;de morgen;5.31
NOMS_NL_320;le moteur / les moteurs;de motor;4.73
NOMS_NL_321;la manche / les manches;de mouw;3.55
NOMS_NL_322;la souris / les souris;de muis;4.03
NOMS_NL_323;la monnaie / les monnaies;de munt;4.11
NOMS_NL_324;le mur / les murs;de muur;4.83
NOMS_NL_325;la musique / (pas de pluriel);de muziek;5.37
NOMS_NL_326;le nom / les noms;de naam;5.69
NOMS_NL_327;le malaise / la désagrément / les malaises;de naarheid;0.0
NOMS_NL_328;le désavantage / les désavantages;de nadeel;4.02
NOMS_NL_329;l'accent (insistance) / (pas de pluriel);de nadruk;4.24
NOMS_NL_330;la nuit / les nuits;de nacht;5.09
NOMS_NL_331;la nature / (pas de pluriel);de natuur;4.85
NOMS_NL_332;la défaite / les défaites;de nederlaag;4.29
NOMS_NL_333;le cousin (ou neveu) / les cousins;de neef;4.41
NOMS_NL_334;la tendance / les tendances;de neiging;3.96
NOMS_NL_335;la nuque / les nuques;de nek;4.45
NOMS_NL_336;le réseau / le filet / les réseaux;het net;5.85
NOMS_NL_337;le nez / les nez;de neus;4.63
NOMS_NL_338;la nouvelle (info) / (pas de pluriel);het nieuws;5.56
NOMS_NL_339;le niveau / les niveaux;het niveau;4.93
NOMS_NL_340;le besoin (nécessité) / les besoins;de nood;4.31
NOMS_NL_341;la norme / les normes;de norm;4.05
NOMS_NL_342;la note / les notes;de nota;3.77
NOMS_NL_343;le numéro / les numéros;het nummer;5.32
NOMS_NL_344;l'utilité / (pas de pluriel);het nut;4.21
NOMS_NL_345;le matin / les matins;de ochtend;4.81
NOMS_NL_346;l'exercice / les exercices;de oefening;4.23
NOMS_NL_347;l'oeil / les yeux;het oog;4.89
NOMS_NL_348;la guerre / les guerres;de oorlog;5.29
NOMS_NL_349;l'oncle / les oncles;de oom;4.4
NOMS_NL_350;la cause / les causes;de oorzaak;4.62
NOMS_NL_351;la solution / les solutions;de oplossing;4.94
NOMS_NL_352;la formation / les formations;de opleiding;4.86
NOMS_NL_353;l'enregistrement / l'admission / les enregistrements;de opname;4.41
NOMS_NL_354;la surface / les surfaces;de oppervlakte;4.29
NOMS_NL_355;la mission / la commande / les missions;de opdracht;4.94
NOMS_NL_356;la remarque / les remarques;de opmerking;4.39
NOMS_NL_357;l'éducation / (pas de pluriel);de opvoeding;4.09
NOMS_NL_358;la succession / le suivi / (pas de pluriel);de opvolging;3.72
NOMS_NL_359;l'ordre / (pas de pluriel);de orde;5.27
NOMS_NL_360;l'organisation / les organisations;de organisatie;5.2
NOMS_NL_361;le parent / les parents;de ouder;4.7
NOMS_NL_362;l'autorité (publique) / les autorités;de overheid;5.05
NOMS_NL_363;la conviction / les convictions;de overtuiging;4.02
NOMS_NL_364;la concertation / (pas de pluriel);het overleg;4.4
NOMS_NL_365;le papa / les papas;de pa;4.39
NOMS_NL_366;la paire (le couple) / les paires;het paar;5.61
NOMS_NL_367;le cheval / les chevaux;het paard;4.66
NOMS_NL_368;la page / les pages;de pagina;5.04
NOMS_NL_369;le paquet / les paquets;het pakket;4.36
NOMS_NL_370;le palais / les palais;het paleis;4.47
NOMS_NL_371;le papier / les papiers;het papier;4.51
NOMS_NL_372;le parti / la partie (match) / les parties;de partij;5.32
NOMS_NL_373;le partenaire / les partenaires;de partner;4.75
NOMS_NL_374;le pas / le passeport / les pas;de pas;5.45
NOMS_NL_375;le patient / les patients;de patiënt;4.51
NOMS_NL_376;la pause / les pauses;de pauze;4.34
NOMS_NL_377;la poire / les poires;de peer;3.85
NOMS_NL_378;la plume (stylo) / les plumes;de pen;4.35
NOMS_NL_379;la période / les périodes;de periode;5.08
NOMS_NL_380;la personne / les personnes;de persoon;5.22
NOMS_NL_381;la casquette / les casquettes;de pet;4.07
NOMS_NL_382;la douleur / les douleurs;de pijn;5.1
NOMS_NL_383;la place (le lieu) / les places;de plaats;5.74
NOMS_NL_384;le plan / les plans;het plan;5.18
NOMS_NL_385;la plante / les plantes;de plant;4.43
NOMS_NL_386;la plaque / le disque / les plaques;de plaat;4.44
NOMS_NL_387;le plaisir / (pas de pluriel);het plezier;5.01
NOMS_NL_388;l'équipe / les équipes;de ploeg;4.55
NOMS_NL_389;la police / (pas de pluriel);de politie;5.53
NOMS_NL_390;la politique / (pas de pluriel);de politiek;5.17
NOMS_NL_391;le portail / la porte / les portes;de poort;4.46
NOMS_NL_392;la patte / les pattes;de poot;3.75
NOMS_NL_393;la poste / le courrier / (pas de pluriel);de post;4.93
NOMS_NL_394;le pot / les pots;de pot;4.38
NOMS_NL_395;la pratique / les pratiques;de praktijk;4.56
NOMS_NL_396;le prix / les prix;de prijs;5.28
NOMS_NL_397;le principe / les principes;het principe;4.46
NOMS_NL_398;le problème / les problèmes;het probleem;5.44
NOMS_NL_399;le procès / le processus / les processus;het proces;4.87
NOMS_NL_400;le produit / les produits;het product;4.64
NOMS_NL_401;la production / (pas de pluriel);de productie;4.75
NOMS_NL_402;le programme / les programmes;het programma;5.28
NOMS_NL_403;le projet / les projets;het project;5.17
NOMS_NL_404;la province / les provinces;de provincie;5.2
NOMS_NL_405;le public / (pas de pluriel);het publiek;4.99
NOMS_NL_406;le point / les points;het punt;5.1
NOMS_NL_407;le conseil / les conseils;de raad;5.06
NOMS_NL_408;la radio / les radios;de radio;5.02
NOMS_NL_409;le bord / la marge / les bords;de rand;4.53
NOMS_NL_410;la fenêtre / les fenêtres;het raam;4.5
NOMS_NL_411;la réaction / les réactions;de reactie;5.04
NOMS_NL_412;le droit / les droits;het recht;5.29
NOMS_NL_413;la publicité / les publicités;de reclame;4.49
NOMS_NL_414;la raison / les raisons;de reden;5.26
NOMS_NL_415;la règle / les règles;de regel;4.55
NOMS_NL_416;le gouvernement / les gouvernements;de regering;5.09
NOMS_NL_417;la région / les régions;de regio;5.41
NOMS_NL_418;le voyage / les voyages;de reis;5.06
NOMS_NL_419;la facture / le compte / les comptes;de rekening;4.79
NOMS_NL_420;la relation / les relations;de relatie;5.05
NOMS_NL_421;l'intérêt (argent) / (pas de pluriel);de rente;4.11
NOMS_NL_422;le restaurant / les restaurants;het restaurant;4.69
NOMS_NL_423;le résultat / les résultats;het resultaat;4.88
NOMS_NL_424;la direction (sens) / les directions;de richting;5.08
NOMS_NL_425;le chevalier / les chevaliers;de ridder;4.03
NOMS_NL_426;la richesse / les richesses;de rijkdom;4.06
NOMS_NL_427;la file / la rangée / les rangées;de rij;4.91
NOMS_NL_428;la bague / l'anneau / les anneaux;de ring;4.61
NOMS_NL_429;le risque / les risques;het risico;4.82
NOMS_NL_430;le trajet (course) / les trajets;de rit;4.36
NOMS_NL_431;la rivière / les rivières;de rivier;4.84
NOMS_NL_432;la jupe / les jupes;de rok;3.9
NOMS_NL_433;le rôle / les rôles;de rol;5.22
NOMS_NL_434;le roman / les romans;de roman;4.42
NOMS_NL_435;la dispute / les disputes;de ruzie;4.58
NOMS_NL_436;le repos / (pas de pluriel);de rust;5.05
NOMS_NL_437;l'espace / la pièce / les espaces;de ruimte;5.04
NOMS_NL_438;le dos / les dos;de rug;4.86
NOMS_NL_439;la langue / les langues;de taal;5.03
NOMS_NL_440;la table / les tables;de tafel;4.83
NOMS_NL_441;la dent / les dents;de tand;3.95
NOMS_NL_442;le sac / la tasse / les sacs;de tas;4.62
NOMS_NL_443;l'opposition / le contraste / les oppositions;tegenstelling;4.49
NOMS_NL_444;le manque / le déficit / les manques;het tekort;4.45
NOMS_NL_445;le texte / les textes;de tekst;5.05
NOMS_NL_446;le téléphone / les téléphones;de telefoon;5.14
NOMS_NL_447;la télévision / les télévisions;de televisie;4.72
NOMS_NL_448;le tempo / le rythme / les tempos;het tempo;4.31
NOMS_NL_449;la tente / les tentes;de tent;4.34
NOMS_NL_450;le terme / les termes;de term;4.57
NOMS_NL_451;le terrain / les terrains;het terrein;4.61
NOMS_NL_452;le retour / (pas de pluriel);de terugkeer;4.43
NOMS_NL_453;le thème / les thèmes;het thema;4.64
NOMS_NL_454;le foyer / le chez-soi / (pas de pluriel);de thuis;5.48
NOMS_NL_455;le temps / les temps;de tijd;5.96
NOMS_NL_456;l'avenir / (pas de pluriel);de toekomst;5.21
NOMS_NL_457;l'augmentation / les augmentations;de toename;4.19
NOMS_NL_458;l'accès / les accès;de toegang;4.91
NOMS_NL_459;l'état (situation) / les états;de toestand;4.43
NOMS_NL_460;la touche / le test / les touches;de toets;4.18
NOMS_NL_461;le hasard / (pas de pluriel);de toeval;4.33
NOMS_NL_462;la tonne / le tonneau / les tonnes;de ton;4.68
NOMS_NL_463;la scène (théâtre) / les scènes;het toneel;4.08
NOMS_NL_464;le sommet / les sommets;de top;5.32
NOMS_NL_465;le total / les totaux;de totaal;5.12
NOMS_NL_466;la tour / les tours;de toren;4.33
