Langue;Mot;Traduction;Conjugaison;Statut;Frequence
nl;lachen;rire;lachte, gelachen;Prioritaire;4.76
nl;laden;charger;laadde, geladen;Standard;4.29
nl;laten;laisser;liet, gelaten;Prioritaire;5.88
nl;leeft;vivre (être en vie);leefde, geleefd;Prioritaire;4.83
nl;leiden;mener / conduire;leidde, geleid;Prioritaire;5.16
nl;lenen;emprunter / prêter;leende, geleend;Prioritaire;4.32
nl;leren;apprendre / enseigner;leerde, geleerd;Prioritaire;5.41
nl;letten (op);faire attention (à);lette, gelet;Prioritaire;4.35
nl;lezen;lire;las, gelezen;Prioritaire;5.32
nl;leveren;livrer / fournir;leverde, geleverd;Prioritaire;4.68
nl;leggen;poser / mettre;legde, gelegd;Prioritaire;5.0
nl;liggen;être couché / se trouver;lag, gelegen;Prioritaire;5.27
nl;lijden;souffrir;leed, geleden;Prioritaire;4.51
nl;lijken;paraître / ressembler;leek, geleken;Prioritaire;4.91
nl;lopen;marcher / courir;liep, gelopen;Prioritaire;5.34
nl;luisteren;écouter;luisterde, geluisterd;Prioritaire;4.9
nl;luiden;sonner;luidde, geluid;Standard;3.63
nl;maken;faire / fabriquer;maakte, gemaakt;Prioritaire;6.1
nl;meemaken;vivre / expérimenter;maakte mee, meegemaakt;Prioritaire;4.02
nl;meegaan;accompagner;ging mee, meegegaan;Standard;3.73
nl;melden;signaler / annoncer;meldde, gemeld;Prioritaire;4.73
nl;menen;penser / être sérieux;meende, gemeend;Prioritaire;3.95
nl;merken;remarquer;merkte, gemerkt;Prioritaire;4.45
nl;meten;mesurer;mat, gemeten;Prioritaire;4.12
nl;moeten;devoir;moest, gemoeten;Prioritaire;6.03
nl;mogen;pouvoir (permission);mocht, gemoogd;Prioritaire;5.34
nl;naar de les gaan;aller au cours;ging, gegaan;Standard;5.0
nl;nagaan;vérifier;ging na, nagegaan;Standard;3.73
nl;nemen;prendre;nam, genomen;Prioritaire;5.6
nl;noemen;nommer / appeler;noemde, genoemd;Prioritaire;5.08
nl;oordelen;juger;oordeelde, geoordeeld;Prioritaire;3.99
nl;oefenen;exercer / pratiquer;oefende, geoefend;Prioritaire;4.48
nl;ontbijten;déjeuner (matin);ontbeet, ontbeten;Standard;3.79
nl;ontbreken;manquer;ontbrak, ontbroken;Prioritaire;4.25
nl;onthouden;retenir / se souvenir;onthield, onthouden;Prioritaire;4.3
nl;ontmoeten;rencontrer;ontmoette, ontmoet;Prioritaire;4.6
nl;ontstaan;naître / provenir;ontstond, ontstaan;Prioritaire;4.97
nl;ontvangen;recevoir;ontving, ontvangen;Prioritaire;5.04
nl;ontwikkelen;développer;ontwikkelde, ontwikkeld;Prioritaire;4.69
nl;opbellen;téléphoner;belde op, opgebeld;Prioritaire;2.74
nl;opbouwen;construire / édifier;bouwde op, opgebouwd;Prioritaire;4.15
nl;opnemen;enregistrer / décrocher;nam op, opgenomen;Prioritaire;4.59
nl;oppassen;faire attention;paste op, opgepast;Prioritaire;3.84
nl;oprichten;fonder / établir;richtte op, opgericht;Prioritaire;3.85
nl;oplossen;résoudre;loste op, opgelost;Prioritaire;4.61
nl;opstaan;se lever;stond op, opgestaan;Prioritaire;4.39
nl;opstellen;rédiger / dresser;stelde op, opgesteld;Prioritaire;4.23
nl;opvallen;frapper / sauter aux yeux;viel op, opgevallen;Prioritaire;3.65
nl;opzoeken;chercher / rendre visite;zocht op, opgezocht;Prioritaire;4.21
nl;overlijden;décéder;overleed, overleden;Prioritaire;4.48
nl;oversteken;traverser;stak over, overgestoken;Prioritaire;3.83
nl;pakken;prendre / saisir;pakte, gepakt;Prioritaire;4.99
nl;passen;essayer / convenir;paste, gepast;Prioritaire;4.69
nl;plaatsvinden;avoir lieu;vond plaats, plaatsgevonden;Prioritaire;4.4
nl;plannen;planifier;plande, gepland;Prioritaire;4.92
nl;planten;planter;plantte, geplant;Standard;4.6
nl;plegen;commettre;pleegde, gepleegd;Prioritaire;4.26
nl;poetsen;nettoyer;poetste, gepoetst;Standard;3.77
nl;praten;parler / bavarder;praatte, gepraat;Prioritaire;5.29
nl;proberen;essayer;probeerde, geprobeerd;Prioritaire;5.24
nl;produceren;produire;produceerde, geproduceerd;Prioritaire;4.3
nl;publiceren;publier;publiceerde, gepubliceerd;Prioritaire;4.11
nl;punten geven;donner des points;gaf, gegeven;Standard;4.95
nl;raken;toucher / atteindre;raakte, geraakt;Prioritaire;4.73
nl;reageren;réagir;reageerde, gereageerd;Prioritaire;4.76
nl;reizen;voyager;reisde, gereisd;Prioritaire;4.82
nl;rekenen;compter / calculer;rekende, gerekend;Prioritaire;4.48
nl;remmen;freiner;remde, geremd;Standard;3.91
nl;rijden;rouler / conduire;reed, gereden;Prioritaire;5.13
nl;roepen;appeler / crier;riep, geroepen;Prioritaire;4.62
nl;roken;fumer;rookte, gerookt;Standard;4.47
nl;ruilen;échanger;ruilde, geruild;Standard;4.04
nl;rusten;se reposer;rustte, gerust;Prioritaire;4.25
nl;scheiden;séparer;scheidde, gescheiden;Prioritaire;4.18
nl;schelen;importer / y avoir une différence;scheelde, gescheeld;Prioritaire;4.22
nl;schenken;offrir / verser;schonk, geschonken;Prioritaire;3.91
nl;scheppen;créer;schiep, geschept;Standard;4.02
nl;schijnen;sembler / briller;scheen, geschenen;Prioritaire;4.0
nl;schrijven;écrire;schreef, geschreven;Prioritaire;5.07
nl;schrikken;s'effrayer;schrok, geschrokken;Prioritaire;3.99
nl;slaan;frapper;sloeg, geslagen;Prioritaire;4.87
nl;slagen;réussir;slaagde, geslaagd;Prioritaire;4.28
nl;slapen;dormir;sliep, geslapen;Prioritaire;5.06
nl;sluiten;fermer;sloot, gesloten;Prioritaire;4.9
nl;smaken;goûter (avoir un goût);smaakte, gesmaakt;Standard;3.95
nl;smijten;jeter;smeet, gesmeten;Standard;3.07
nl;snijden;couper;sneed, gesneden;Prioritaire;4.17
nl;spelen;jouer;speelde, gespeeld;Prioritaire;5.47
nl;spreken;parler;sprak, gesproken;Prioritaire;5.04
nl;springen;sauter;sprong, gesprongen;Standard;4.45
nl;staan;être debout;stond, gestaan;Prioritaire;5.71
nl;stappen;marcher / monter (véhicule);stapte, gestapt;Prioritaire;4.86
nl;steken;piquer / mettre;stak, gestoken;Prioritaire;4.68
nl;stellen;poser / placer;stelde, gesteld;Prioritaire;5.23
nl;sterven;mourir;stierf, gestorven;Prioritaire;4.62
nl;stijgen;augmenter / monter;steeg, gestegen;Prioritaire;4.21
nl;stoppen;s'arrêter / cesser;stopte, gestopt;Prioritaire;5.1
nl;studeren;étudier;studeerde, gestudeerd;Prioritaire;4.5
nl;sturen;envoyer / diriger;stuurde, gestuurd;Prioritaire;5.06
nl;tekenen;dessiner / signer;tekende, getekend;Prioritaire;4.6
nl;tellen;compter;telde, geteld;Prioritaire;4.39
nl;tonen;montrer;toonde, getoond;Prioritaire;4.73
nl;trekken;tirer;trok, getrokken;Prioritaire;4.97
nl;trouwen;se marier;trouwde, getrouwd;Prioritaire;4.61
nl;vallen;tomber;viel, gevallen;Prioritaire;5.16
nl;vangen;attraper;ving, gevangen;Prioritaire;4.47
nl;varen;naviguer;voer, gevaren;Standard;4.29
nl;vechten;se battre;vocht, gevochten;Standard;4.7
nl;veranderen;changer;veranderde, veranderd;Prioritaire;5.11
nl;verbeteren;améliorer / corriger;verbeterde, verbeterd;Prioritaire;4.74
nl;verbinden;relier;verbond, verbonden;Prioritaire;4.21
nl;verdedigen;défendre;verdedigde, verdedigd;Prioritaire;4.44
nl;verdelen;partager / répartir;verdeelde, verdeeld;Prioritaire;4.1
nl;verdienen;gagner (argent) / mériter;verdiende, verdiend;Prioritaire;4.85
nl;vergelijken;comparer;vergeleek, vergeleken;Prioritaire;4.43
nl;vergeten;oublier;vergat, vergeten;Prioritaire;5.2
nl;verhuizen;déménager;verhuisde, verhuisd;Prioritaire;4.42
nl;verklaren;déclarer / expliquer;verklaarde, verklaard;Prioritaire;4.39
nl;verkopen;vendre;verkocht, verkocht;Prioritaire;4.88
nl;verlaten;quitter;verliet, verlaten;Prioritaire;4.94
nl;verlengen;prolonger;verlengde, verlengd;Prioritaire;4.11
nl;verliezen;perdre;verloor, verloren;Prioritaire;4.83
nl;vermijden;éviter;vermeed, vermeden;Prioritaire;4.29
nl;vermoeden;soupçonner;vermoedde, vermoed;Prioritaire;4.3
nl;verpakken;emballer;verpakte, verpakt;Standard;3.28
nl;verrassen;surprendre;verraste, verrast;Prioritaire;4.04
nl;verschillen;différer;verschilde, verschild;Prioritaire;4.68
nl;vertellen;raconter;vertelde, verteld;Prioritaire;5.17
nl;vertrekken;partir;vertrok, vertrokken;Prioritaire;4.57
nl;vertrouwen;faire confiance;vertrouwde, vertrouwd;Prioritaire;5.06
nl;vervangen;remplacer;verving, vervangen;Prioritaire;4.87
nl;verven;peindre;verfde, geverfd;Standard;3.86
nl;verzamelen;collectionner / rassembler;verzamelde, verzameld;Prioritaire;4.53
nl;verzekeren;assurer;verzekerde, verzekerd;Prioritaire;4.09
nl;verzenden;expédier;verzond, verzonden;Standard;3.6
nl;verzorgen;soigner;verzorgde, verzorgd;Prioritaire;4.17
nl;vinden;trouver;vond, gevonden;Prioritaire;5.75
nl;vliegen;voler (air);vloog, gevlogen;Prioritaire;4.74
nl;voelen;sentir / ressentir;voelde, gevoeld;Prioritaire;5.04
nl;voeren;mener / nourrir;voerde, gevoerd;Prioritaire;4.87
nl;volgen;suivre;volgde, gevolgd;Prioritaire;5.27
nl;voorbereiden;préparer;bereidde voor, voorbereid;Prioritaire;4.26
nl;voorkomen;prévenir / arriver;kwam voor, voorgekomen;Prioritaire;5.11
nl;voorspellen;prédir;voorspelde, voorspeld;Standard;3.99
nl;voorstellen;présenter;stelde voor, voorgesteld;Prioritaire;4.79
nl;vormen;former;vormde, gevormd;Prioritaire;5.11
nl;vragen;demander;vroeg, gevraagd;Prioritaire;5.65
nl;vriezen;geler;vroor, gevroren;Standard;3.24
nl;vullen;remplir;vulde, gevuld;Prioritaire;4.38
nl;waarschuwen;avertir;waarschuwde, gewaarschuwd;Prioritaire;4.18
nl;wachten;attendre;wachtte, gewacht;Prioritaire;5.36
nl;wandelen;se promener;wandelde, gewandeld;Prioritaire;4.43
nl;wassen;laver;waste, gewassen;Prioritaire;4.23
nl;weigeren;refuser;weigerde, geweigerd;Prioritaire;4.27
nl;wekken;éveiller;wekte, gewekt;Standard;3.95
nl;wenen;pleurer;weende, geweend;Standard;4.27
nl;wennen;s'habituer;wende, gewend;Standard;4.24
nl;wensen;souhaiter;wenste, gewenst;Standard;4.7
nl;werken;travailler;werkte, gewerkt;Prioritaire;5.65
nl;werpen;jeter;wierp, geworpen;Standard;3.92
nl;weten;savoir;wist, geweten;Prioritaire;5.73
nl;wijzen;indiquer;wees, gewezen;Prioritaire;4.55
nl;willen;vouloir;wilde / wou, gewild;Prioritaire;5.81
nl;winnen;gagner;won, gewonnen;Prioritaire;5.0
nl;wonen;habiter;woonde, gewoond;Prioritaire;5.14
nl;worden;devenir;werd, geworden;Prioritaire;6.38
nl;zakken;échouer / descendre;zakte, gezakt;Standard;4.52
nl;zeggen;dire;zei, gezegd;Prioritaire;5.71
nl;zenden;envoyer;zond, gezonden;Standard;3.93
nl;zetten;mettre / poser;zette, gezet;Prioritaire;5.37
nl;zien;voir;zag, gezien;Prioritaire;6.05
nl;zijn;être;was, geweest;Prioritaire;6.96
nl;zingen;chanter;zong, gezongen;Standard;4.76
nl;zitten;être assis;zat, gezeten;Prioritaire;5.56
nl;zoeken;chercher;zocht, gezocht;Prioritaire;5.33
nl;zorgen;soigner / veiller à;zorgde, gezorgd;Prioritaire;5.46
nl;zullen;auxiliaire futur;zou, -;Prioritaire;5.69
nl;zwemmen;nager;zwom, gezwommen;Standard;4.6
nl;zwijgen;se taire;zweeg, gezwegen;Prioritaire;4.35
